Executable name	Version	Number of executions	Average memory usage per execution [bytes]	Number of devices	Application name
msosync.exe	16.0.11929.20562	77	14660403	15	Microsoft Office
ucmapi.exe	16.0.11328.20512	8499	14582735	727	Microsoft Office
ucmapi.exe	16.0.11328.20368	3089	14507727	291	Microsoft Office
officeclicktorun.exe	16.0.9126.2295	33	14381980	4	Microsoft Office
msosync.exe	16.0.11328.20368	58	14340247	8	Microsoft Office
msosync.exe	16.0.11929.20562	127	14295170	20	Microsoft Office
ucmapi.exe	16.0.11929.20606	77	14280811	8	Microsoft Office
msosync.exe	16.0.11929.20606	10	14278656	2	Microsoft Office
namecontrolserver.exe	16.0.12430.20264	3	14068394	1	Microsoft Office
msosync.exe	16.0.12430.20184	21	14044364	1	Microsoft Office
lynchtmlconv.exe	16.0.12703.20010	3	14024704	1	Microsoft Office
msosync.exe	16.0.11328.20368	738	13898050	118	Microsoft Office
ucmapi.exe	16.0.11929.20606	49	13852170	4	Microsoft Office
ucmapi.exe	16.0.11929.20562	684	13840277	71	Microsoft Office
hxtsr.exe	16.0.12624.20368	3147	13750644	48	Microsoft Office
ocpubmgr.exe	16.0.11328.20368	27	13692169	4	Microsoft Office
lync.exe	16.0.11328.20392	3	13653333	1	Microsoft Office
officeclicktorun.exe	16.0.12703.20008	67	13529088	1	Microsoft Office
ucmapi.exe	16.0.11328.20512	2022	13307755	201	Microsoft Office
officeclicktorun.exe	16.0.11328.20478	5	13025280	1	Microsoft Office
namecontrolserver.exe	16.0.11929.20562	1	12845056	1	Microsoft Office
ucmapi.exe	16.0.12325.20298	9	12823210	1	Microsoft Office
lynchtmlconv.exe	16.0.12231.20000	11	12399411	1	Microsoft Office
hxaccounts.exe	16.0.12624.20368	4	12320768	2	Microsoft Office
lynchtmlconv.exe	16.0.11929.20606	58	12230265	5	Microsoft Office
ucmapi.exe	16.0.11929.20648	43	11378878	5	Microsoft Office
lynchtmlconv.exe	15.0.4551.1001	9098	11044528	1005	Microsoft Office 2013
officeclicktorun.exe	16.0.12231.20000	9	11024611	1	Microsoft Office
ucmapi.exe	16.0.11328.20554	75	10891504	12	Microsoft Office
ucmapi.exe	16.0.11328.20368	164	10883072	18	Microsoft Office
ucmapi.exe	16.0.9126.2295	23	10713711	2	Microsoft Office 2016
msosync.exe	16.0.4266.1001	1	10682368	1	Microsoft Office 2016
lynchtmlconv.exe	15.0.4551.1006	302	10419049	32	Microsoft Office 2013
officec2rclient.exe	16.0.11929.20648	1713	10267306	27	Microsoft Office
ois.exe	14.0.7010.1000	7	10223616	2	Microsoft Office 2010
msouc.exe	14.0.6108.5000	10	10125312	7	Microsoft Office 2010
integrator.exe	16.0.11328.20362	102	10003681	19	Microsoft Office
ucmapi.exe	15.0.4547.1000	8	9977856	1	Microsoft Office 2013
protocolhandler.exe	16.0.11328.20368	26	9830400	11	Microsoft Office
ucmapi.exe	16.0.11328.20438	25	9770106	2	Microsoft Office
ois.exe	14.0.7010.1000	104	9684036	38	Microsoft Office 2010
integrator.exe	16.0.11328.20512	15	9568256	8	Microsoft Office
lynchtmlconv.exe	16.0.12430.20184	31	9552964	1	Microsoft Office
ucmapi.exe	16.0.11328.20468	10	9417523	1	Microsoft Office
ucmapi.exe	15.0.5159.1000	3151	9345946	344	Microsoft Office 2013
officeclicktorun.exe	16.0.12430.20172	42	9327957	2	Microsoft Office
namecontrolserver.exe	16.0.11328.20512	46	9303133	9	Microsoft Office
sdxhelper.exe	16.0.12703.20010	76	9240576	1	Microsoft Office
lynchtmlconv.exe	16.0.11328.20554	57	9005000	11	Microsoft Office
ucmapi.exe	15.0.4551.1007	11422	8953694	1088	Microsoft Office 2013
integrator.exe	16.0.11929.20648	31	8951621	4	Microsoft Office
ocpubmgr.exe	16.0.11328.20512	20	8840461	2	Microsoft Office
integrator.exe	16.0.12527.20184	8	8781824	1	Microsoft Office
integrator.exe	16.0.11929.20648	21	8690073	3	Microsoft Office
integrator.exe	16.0.11328.20362	27	8658313	4	Microsoft Office
integrator.exe	16.0.11328.20554	83	8536776	40	Microsoft Office
lynchtmlconv.exe	15.0.5223.1000	23	8525378	2	Microsoft Office 2013
integrator.exe	16.0.11328.20512	4	8388608	2	Microsoft Office
namecontrolserver.exe	15.0.4420.1017	2	8355840	1	Microsoft Office 2013
ucmapi.exe	15.0.4551.1007	362	8247484	32	Microsoft Office 2013
integrator.exe	16.0.11328.20554	125	8136903	62	Microsoft Office
officec2rclient.exe	16.0.10730.20304	103	8126464	1	Microsoft Office
ucmapi.exe	15.0.4569.1503	46	7823003	5	Microsoft Office 2013
ucmapi.exe	15.0.4420.1017	40	7798784	4	Microsoft Office 2013
setup.exe	16.0.11901.20000	27	7617070	18	Microsoft Office
setup.exe	16.0.12325.20276	16	7528448	4	Microsoft Office
officeclicktorun.exe	16.0.12430.20198	10	7500231	1	Microsoft Office
ocpubmgr.exe	15.0.5159.1000	3	7492949	1	Microsoft Office 2013
setup.exe	16.0.10810.33603	8	7421952	7	Microsoft Office 2016
namecontrolserver.exe	16.0.11929.20562	6	7313817	3	Microsoft Office
sdxhelper.exe	16.0.11929.20562	5317	7245368	79	Microsoft Office
namecontrolserver.exe	14.0.7005.1000	45	7111541	14	Microsoft Office 2010
sdxhelper.exe	16.0.11929.20606	356	6973030	4	Microsoft Office
officec2rclient.exe	16.0.12430.20172	87	6946816	2	Microsoft Office
officec2rclient.exe	16.0.11328.20468	202	6946816	5	Microsoft Office
msoasb.exe	16.0.12527.20122	1	6946816	1	Microsoft Office
ucmapi.exe	15.0.4420.1017	25	6891765	4	Microsoft Office 2013
officec2rclient.exe	16.0.11328.20512	75742	6687543	1079	Microsoft Office
officec2rclient.exe	16.0.11328.20478	161	6619136	1	Microsoft Office
officec2rclient.exe	16.0.11328.20362	26900	6583497	496	Microsoft Office
namecontrolserver.exe	16.0.11328.20512	17	6515049	4	Microsoft Office
officec2rclient.exe	16.0.11328.20524	113	6509909	2	Microsoft Office
sdxhelper.exe	16.0.12325.20298	136	6291456	1	Microsoft Office
sdxhelper.exe	16.0.11929.20648	1415	6212812	18	Microsoft Office
officec2rclient.exe	16.0.11929.20536	14795	6067274	219	Microsoft Office
officec2rclient.exe	16.0.11328.20554	5514	6032508	147	Microsoft Office
officec2rclient.exe	16.0.11629.20188	55	6029312	1	Microsoft Office
officec2rclient.exe	16.0.11929.20586	1350	5976883	17	Microsoft Office
officec2rclient.exe	16.0.12624.20374	17	5963776	1	Microsoft Office
sdxhelper.exe	16.0.12430.20184	78	5909162	1	Microsoft Office
msoasb.exe	16.0.11328.20362	32	5905521	2	Microsoft Office
namecontrolserver.exe	16.0.11328.20368	2	5832704	2	Microsoft Office
msosync.exe	15.0.4569.1503	292	5788249	20	Microsoft Office 2013
sdxhelper.exe	16.0.11328.20368	14442	5637393	455	Microsoft Office
sdxhelper.exe	16.0.11328.20512	8256	5587947	239	Microsoft Office
officec2rclient.exe	16.0.12008.20000	80	5472256	1	Microsoft Office
sdxhelper.exe	16.0.11929.20562	10201	5383881	137	Microsoft Office
sdxhelper.exe	16.0.11328.20554	898	5373952	24	Microsoft Office
sdxhelper.exe	16.0.11328.20512	32743	5285708	810	Microsoft Office
sdxhelper.exe	16.0.11328.20368	724	5155498	21	Microsoft Office
officec2rclient.exe	16.0.11328.20438	284	5095424	19	Microsoft Office
namecontrolserver.exe	15.0.4545.1000	26	4912350	5	Microsoft Office 2013
msosync.exe	14.0.7159.5000	33	4607379	2	Microsoft Office 2010
msosync.exe	14.0.4757.1000	11	4605393	1	Microsoft Office 2010
namecontrolserver.exe	16.0.11328.20554	1	4587520	1	Microsoft Office
namecontrolserver.exe	15.0.4420.1017	138	4269056	17	Microsoft Office 2013
msosync.exe	14.0.7011.1000	2226	4249977	220	Microsoft Office 2010
osppsvc.exe	15.0.169.500	271	4084349	26	Microsoft Office
msoasb.exe	16.0.12231.20000	14	4077275	1	Microsoft Office
msosync.exe	14.0.7011.1000	151	4075465	14	Microsoft Office 2010
lynchtmlconv.exe	15.0.4569.1503	41	4044050	5	Microsoft Office 2013
sdxhelper.exe	16.0.11328.20554	1764	4010803	48	Microsoft Office
msosync.exe	15.0.4420.1017	722	3987190	35	Microsoft Office 2013
msoia.exe	16.0.12430.20172	15	3801088	1	Microsoft Office
msoia.exe	16.0.11328.20554	581	3592914	46	Microsoft Office
msoia.exe	16.0.11929.20430	1546	3584091	102	Microsoft Office
msoia.exe	16.0.10730.20264	24628	3556920	1745	Microsoft Office
msoia.exe	16.0.11328.20362	6457	3265663	447	Microsoft Office
msoia.exe	16.0.11929.20436	2121	3228908	148	Microsoft Office
appsharinghookcontroller.exe	16.0.11328.20070	5	3211264	4	Microsoft Office
lynchtmlconv.exe	15.0.4420.1017	40	3149177	4	Microsoft Office 2013
msoia.exe	16.0.11328.20512	3276	3004749	248	Microsoft Office
ocpubmgr.exe	15.0.4551.1007	14	2906989	4	Microsoft Office 2013
osppsvc.exe	14.0.370.400	8	2899968	1	Microsoft Office
msoia.exe	16.0.11328.20512	12142	2867950	780	Microsoft Office
msoia.exe	16.0.11328.20554	307	2861738	26	Microsoft Office
osppsvc.exe	14.0.370.400	20193	2804959	1933	Microsoft Office
appsharinghookcontroller64.exe	16.0.11328.20070	12	2752512	11	Microsoft Office
lynchtmlconv.exe	15.0.4420.1017	15	2555904	3	Microsoft Office 2013
msoia.exe	16.0.11328.20362	290	2424832	19	Microsoft Office
msoia.exe	16.0.12430.20172	25	2293760	1	Microsoft Office
msoia.exe	15.0.4569.1503	1931	311296	89	Microsoft Office 2013
xlim.exe	16.0.12624.20018	12	244270	1	Microsoft Office
hxoutlook.exe	16.0.12624.20348	11	196608	2	Microsoft Office
hxcalendarappimm.exe	16.0.12624.20348	10	196608	3	Microsoft Office
protocolhandler.exe	16.0.11929.20648	1	-	1	Microsoft Office
officeclicktorun.exe	16.0.10730.20348	1	-	1	Microsoft Office
databasecompare.exe	16.0.11328.20512	2	-	1	Microsoft Office
powerpnt.exe	16.0.11929.20606	1	-	1	Microsoft Office
excelcnv.exe	14.0.7235.5000	4	-	1	Microsoft Office 2010
sdxhelper.exe	16.0.12718.20010	16	-	1	Microsoft Office
excelcnv.exe	16.0.11328.20368	3	-	1	Microsoft Office
msoia.exe	16.0.12718.20000	8	-	1	Microsoft Office
officec2rclient.exe	16.0.12718.20000	20	-	1	Microsoft Office
appsharinghookcontroller.exe	15.0.4551.1007	3	-	2	Microsoft Office 2013
msouc.exe	16.0.11328.20368	2	-	2	Microsoft Office
protocolhandler.exe	16.0.11929.20562	6	-	2	Microsoft Office
lynchtmlconv.exe	16.0.12325.20298	1	-	1	Microsoft Office
sdxhelper.exe	16.0.11328.20480	20	-	1	Microsoft Office
excelcnv.exe	16.0.11328.20512	7	-	1	Microsoft Office
vpreview.exe	16.0.11929.20562	6	-	1	Microsoft Office
msohtmed.exe	15.0.4420.1017	8	-	8	Microsoft Office 2013
msoia.exe	16.0.9126.2295	58	-	3	Microsoft Office 2016
sdxhelper.exe	16.0.12430.20264	80	-	1	Microsoft Office
protocolhandler.exe	16.0.11328.20512	96	-	10	Microsoft Office
protocolhandler.exe	16.0.11328.20554	42	-	1	Microsoft Office
fltldr.exe	16.0.11328.20314	175	-	33	Microsoft Office
msohtmed.exe	15.0.4545.1000	6	-	6	Microsoft Office 2013
msoia.exe	16.0.10730.20264	15	-	1	Microsoft Office
officec2rclient.exe	16.0.9126.2295	537	-	4	Microsoft Office
pdfreflow.exe	16.0.11328.20512	4	-	2	Microsoft Office
msoia.exe	16.0.12325.20276	31	-	1	Microsoft Office
sdxhelper.exe	16.0.11328.20468	90	-	4	Microsoft Office
fltldr.exe	16.0.11929.20110	103	-	18	Microsoft Office
protocolhandler.exe	14.0.7007.1000	180	-	31	Microsoft Office 2010
officec2rclient.exe	16.0.12325.20296	321	-	3	Microsoft Office
sdxhelper.exe	16.0.12231.20000	136	-	1	Microsoft Office
msohtmed.exe	14.0.7007.1000	26	-	25	Microsoft Office 2010
msohtmed.exe	14.0.4730.1010	2	-	2	Microsoft Office 2010
msohtmed.exe	14.0.7007.1000	25	-	24	Microsoft Office 2010
msoia.exe	16.0.12008.20000	20	-	1	Microsoft Office
sdxhelper.exe	16.0.11929.20300	70	-	1	Microsoft Office
sdxhelper.exe	16.0.12325.20298	98	-	1	Microsoft Office
msohtmed.exe	14.0.7227.5000	3	-	3	Microsoft Office 2010
excel.exe	16.0.12718.20010	1	-	1	Microsoft Office
sdxhelper.exe	16.0.11328.20438	188	-	8	Microsoft Office
sdxhelper.exe	16.0.11929.20648	551	-	8	Microsoft Office
cmigrate.exe	15.0.4569.1503	118	-	5	Microsoft Office 2013
fltldr.exe	16.0.11929.20110	29	-	14	Microsoft Office
sdxhelper.exe	16.0.11328.20526	53	-	1	Microsoft Office
msoia.exe	16.0.11328.20492	8	-	1	Microsoft Office
msohtmed.exe	15.0.4454.1000	6	-	6	Microsoft Office 2013
msohtmed.exe	15.0.4420.1017	7	-	7	Microsoft Office 2013
officec2rclient.exe	16.0.11929.20296	79	-	2	Microsoft Office
excelcnv.exe	14.0.7015.1000	8	-	2	Microsoft Office 2010
officec2rclient.exe	16.0.12231.20000	83	-	1	Microsoft Office
officec2rclient.exe	16.0.11328.20390	7	-	1	Microsoft Office
ois.exe	14.0.4750.1000	5	-	1	Microsoft Office 2010
sdxhelper.exe	16.0.12527.20278	65	-	1	Microsoft Office
bcssync.exe	14.0.7005.1000	1857	-	840	Microsoft Office 2010
sdxhelper.exe	16.0.11328.20492	10	-	1	Microsoft Office
officec2rclient.exe	16.0.12703.20010	345	-	1	Microsoft Office
orgchart.exe	16.0.11328.20512	1	-	1	Microsoft Office
excel.exe	16.0.12008.20000	3	-	1	Microsoft Office
bcssync.exe	14.0.7005.1000	95	-	46	Microsoft Office 2010
fltldr.exe	16.0.11328.20362	2525	-	295	Microsoft Office
osfinstaller.exe	16.0.10730.20304	16	-	1	Microsoft Office
msoia.exe	16.0.12231.20000	23	-	1	Microsoft Office
msoia.exe	16.0.11328.20524	28	-	1	Microsoft Office
msohtmed.exe	14.0.7227.5000	23	-	17	Microsoft Office 2010
sdxhelper.exe	16.0.11929.20606	1000	-	12	Microsoft Office
protocolhandler.exe	14.0.7007.1000	8	-	2	Microsoft Office 2010
msoia.exe	16.0.11328.20438	131	-	8	Microsoft Office
msoia.exe	16.0.12703.20008	22	-	1	Microsoft Office
msohtmed.exe	14.0.4730.1010	15	-	2	Microsoft Office 2010
officec2rclient.exe	16.0.11328.20492	24	-	1	Microsoft Office
bcssync.exe	14.0.4756.1000	14	-	5	Microsoft Office 2010
integratedoffice.exe	16.0.11328.20362	1	-	1	Microsoft Office
bcssync.exe	14.0.4756.1000	29	-	10	Microsoft Office 2010
sdxhelper.exe	16.0.12527.20278	48	-	1	Microsoft Office
protocolhandler.exe	15.0.4569.1503	6	-	3	Microsoft Office 2013
lynchtmlconv.exe	16.0.12718.20010	4	-	1	Microsoft Office
fltldr.exe	16.0.12703.20008	5	-	1	Microsoft Office
msoia.exe	16.0.12527.20122	16	-	1	Microsoft Office
cmigrate.exe	15.0.4420.1017	727	-	39	Microsoft Office 2013
protocolhandler.exe	16.0.11328.20512	16	-	5	Microsoft Office
sdxhelper.exe	16.0.12430.20184	50	-	1	Microsoft Office
msoia.exe	15.0.4727.1000	46	-	2	Microsoft Office 2013
msoia.exe	16.0.12325.20280	15	-	1	Microsoft Office
pdfreflow.exe	16.0.11929.20562	4	-	2	Microsoft Office
msoia.exe	16.0.11328.20468	54	-	4	Microsoft Office
fltldr.exe	15.0.4545.1000	33	-	3	Microsoft Office 2013
msoia.exe	16.0.11929.20234	5	-	1	Microsoft Office
msoia.exe	16.0.11929.20234	20	-	1	Microsoft Office
cmigrate.exe	15.0.4753.1000	7	-	1	Microsoft Office 2013
protocolhandler.exe	16.0.11929.20562	5	-	1	Microsoft Office
msoia.exe	16.0.10730.20304	13	-	1	Microsoft Office
msouc.exe	16.0.11328.20512	1	-	1	Microsoft Office
msoia.exe	16.0.12527.20122	14	-	1	Microsoft Office
sdxhelper.exe	16.0.11929.20300	40	-	1	Microsoft Office
msoia.exe	16.0.4266.1001	63	-	1	Microsoft Office 2016
setlang.exe	16.0.11328.20368	2	-	2	Microsoft Office
msqry32.exe	14.0.7010.1000	5	-	2	Microsoft Office 2010
officec2rclient.exe	16.0.12430.20234	46	-	1	Microsoft Office
hxtsr.exe	16.0.8241.4127	1	-	1	Microsoft Office 2016
protocolhandler.exe	16.0.11328.20368	1	-	1	Microsoft Office
mspub.exe	14.0.7011.1000	1	-	1	Microsoft Office 2010
msoia.exe	16.0.11328.20478	16	-	1	Microsoft Office